Age,Gender,Country,Education Level,Role,Programming Experience,ML Experience,Company Size,Company Data Scientists,Yearly Compensation,Spent Money (5years),Primary Tool,# of Languages,# of Visual tools,# of ML frameworks,# of ML algorithms
22-24,Woman,India,Master’s degree,Currently not employed,1-2 years,1-2 years,,,,,,1,1,1,1
18-21,Man,United States of America,Master’s degree,Student,3-5 years,1-2 years,,,,,,2,1,0,0
22-24,Woman,Indonesia,Master’s degree,Data Scientist,3-5 years,3-4 years,0-49 employees,3-4,$0-999,$100-$999,Other,4,8,4,6
22-24,Prefer not to say,Other,Bachelor’s degree,Currently not employed,3-5 years,,,,,,,1,0,0,0
22-24,Man,Japan,Master’s degree,Student,5-10 years,1-2 years,,,,,,1,2,1,2
25-29,Man,India,Bachelor’s degree,Data Analyst,1-2 years,,,,,,,2,2,0,0
25-29,Man,India,Master’s degree,Data Scientist,< 1 years,Under 1 year,50-249 employees,1-2,"1,000-1,999",$100-$999,"Local development environments (RStudio, JupyterLab, etc.)",1,3,4,1
18-21,Man,India,Master’s degree,Student,1-2 years,1-2 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1,1,6,4
22-24,Man,India,Master’s degree,Software Engineer,1-2 years,Under 1 year,"10,000 or more employees",20+,,,,3,3,1,4
40-44,Man,Portugal,Master’s degree,Software Engineer,10-20 years,,,,,,,4,0,0,0
30-34,Man,Turkey,Bachelor’s degree,Currently not employed,< 1 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1,3,3,3
40-44,Man,Brazil,Master’s degree,Product/Project Manager,20+ years,20 or more years,"10,000 or more employees",20+,"100,000-124,999","$100,000 or more ($USD)",,1,1,1,8
18-21,Man,Egypt,Bachelor’s degree,Software Engineer,1-2 years,Under 1 year,0-49 employees,0,$0-999,$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",2,3,1,1
25-29,Man,Colombia,Master’s degree,Data Scientist,3-5 years,1-2 years,"10,000 or more employees",20+,"30,000-39,999",$1-$99,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",5,4,9,5
18-21,Man,India,Bachelor’s degree,Student,1-2 years,2-3 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3,2,4,4
30-34,Man,Italy,Master’s degree,Business Analyst,3-5 years,Under 1 year,0-49 employees,1-2,"60,000-69,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,2,2,4
18-21,Man,India,Bachelor’s degree,Currently not employed,< 1 years,,,,,,,1,0,0,0
22-24,Woman,Other,Some college/university study without earning a bachelor’s degree,Student,3-5 years,Under 1 year,,,,,,7,3,4,5
25-29,Man,Japan,Master’s degree,Machine Learning Engineer,1-2 years,1-2 years,0-49 employees,5-9,"25,000-29,999","$1000-$9,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,2,2,2
25-29,Man,India,Master’s degree,Software Engineer,1-2 years,Under 1 year,"10,000 or more employees",20+,"5,000-7,499",$1-$99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,2,2,3
22-24,Man,India,Bachelor’s degree,Software Engineer,10-20 years,,,,,,,10,0,0,0
30-34,Man,United States of America,Doctoral degree,Data Scientist,5-10 years,4-5 years,0-49 employees,5-9,"125,000-149,999","$10,000-$99,999","Local development environments (RStudio, JupyterLab, etc.)",3,2,3,4
22-24,Man,France,Master’s degree,Student,1-2 years,Under 1 year,,,,,,2,2,4,4
45-49,Man,Poland,Doctoral degree,Research Scientist,20+ years,Under 1 year,"1000-9,999 employees",5-9,"10,000-14,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,1,3,2
25-29,Man,Ukraine,I prefer not to answer,Data Analyst,< 1 years,1-2 years,50-249 employees,5-9,,,,2,3,4,3
35-39,Man,India,Doctoral degree,Other,3-5 years,5-10 years,50-249 employees,0,$0-999,$0 ($USD),,2,1,1,2
30-34,Man,Other,Professional degree,Data Analyst,3-5 years,I do not use machine learning methods,"1000-9,999 employees",3-4,"10,000-14,999",$100-$999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,1,0,0
60-69,Man,United States of America,Some college/university study without earning a bachelor’s degree,Software Engineer,20+ years,3-4 years,0-49 employees,0,"150,000-199,999","$100,000 or more ($USD)",Other,6,3,3,5
22-24,Woman,South Korea,Some college/university study without earning a bachelor’s degree,Student,1-2 years,1-2 years,,,,,,2,2,1,1
40-44,Man,Switzerland,Master’s degree,Research Scientist,20+ years,5-10 years,250-999 employees,10-14,"100,000-124,999",$100-$999,"Local development environments (RStudio, JupyterLab, etc.)",2,2,6,7
22-24,Man,India,Bachelor’s degree,Currently not employed,< 1 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,2,4,3
30-34,Man,Russia,Doctoral degree,Data Scientist,5-10 years,Under 1 year,"1000-9,999 employees",0,"15,000-19,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,1,1,2
30-34,Man,Other,Doctoral degree,Other,5-10 years,1-2 years,250-999 employees,1-2,"7,500-9,999",$1-$99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,5,1,2
45-49,Man,Other,Doctoral degree,Currently not employed,10-20 years,4-5 years,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,2,2,5
25-29,Man,China,Doctoral degree,Software Engineer,5-10 years,5-10 years,50-249 employees,15-19,"40,000-49,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",4,2,4,7
25-29,Woman,Japan,Master’s degree,Student,1-2 years,I do not use machine learning methods,,,,,,2,2,0,0
35-39,Woman,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,I have never written code,,"1000-9,999 employees",10-14,"60,000-69,999",$1-$99,,0,0,0,0
22-24,Man,India,Bachelor’s degree,Data Scientist,3-5 years,,,,,,,1,0,0,0
35-39,Woman,Other,Master’s degree,Student,I have never written code,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",0,0,0,0
22-24,Man,Egypt,Bachelor’s degree,Student,< 1 years,,,,,,,1,0,0,0
18-21,Man,India,Bachelor’s degree,Student,1-2 years,,,,,,,0,0,0,0
25-29,Man,South Africa,Bachelor’s degree,Data Analyst,< 1 years,I do not use machine learning methods,"1000-9,999 employees",15-19,"7,500-9,999","$10,000-$99,999","Local development environments (RStudio, JupyterLab, etc.)",3,1,0,0
60-69,Man,United States of America,Doctoral degree,Research Scientist,20+ years,2-3 years,250-999 employees,1-2,"100,000-124,999","$1000-$9,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",7,3,5,5
25-29,Man,Republic of Korea,Doctoral degree,Research Scientist,3-5 years,3-4 years,0-49 employees,20+,"15,000-19,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",2,2,3,2
30-34,Man,India,Master’s degree,Machine Learning Engineer,5-10 years,2-3 years,0-49 employees,3-4,$0-999,$100-$999,,2,2,3,3
40-44,Man,Brazil,Master’s degree,Business Analyst,10-20 years,I do not use machine learning methods,0-49 employees,1-2,"300,000-500,000",$100-$999,,5,3,0,0
35-39,Man,Russia,Bachelor’s degree,Currently not employed,3-5 years,2-3 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3,3,7,3
30-34,Man,United States of America,Doctoral degree,Machine Learning Engineer,3-5 years,,,,,,,1,0,0,0
25-29,Woman,Other,Some college/university study without earning a bachelor’s degree,Data Engineer,3-5 years,2-3 years,0-49 employees,1-2,$0-999,$1-$99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,1,1,2
22-24,Man,China,Bachelor’s degree,Student,3-5 years,,,,,,,2,0,0,0
35-39,Man,Other,Master’s degree,Data Analyst,1-2 years,I do not use machine learning methods,0-49 employees,1-2,"4,000-4,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,1,0,0
22-24,Man,Japan,Bachelor’s degree,Student,3-5 years,Under 1 year,,,,,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",3,1,3,2
35-39,Man,Australia,Doctoral degree,Software Engineer,10-20 years,5-10 years,0-49 employees,3-4,"40,000-49,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",5,1,3,3
22-24,Man,Spain,Master’s degree,Currently not employed,< 1 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3,3,4,5
25-29,Woman,India,Bachelor’s degree,Other,I have never written code,,250-999 employees,,,,,0,0,0,0
22-24,Man,Bangladesh,Master’s degree,Machine Learning Engineer,,,,,,,,0,0,0,0
45-49,Man,Brazil,Master’s degree,Other,,,,,,,,0,0,0,0
70+,Man,India,No formal education past high school,Business Analyst,1-2 years,,,,,,,1,0,0,0
35-39,Man,Peru,Master’s degree,Business Analyst,I have never written code,,0-49 employees,1-2,"25,000-29,999",$1-$99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",0,0,0,0
30-34,Man,United States of America,Doctoral degree,Data Scientist,5-10 years,4-5 years,0-49 employees,1-2,"150,000-199,999",$0 ($USD),Other,3,2,1,2
40-44,Man,United States of America,Doctoral degree,Other,5-10 years,5-10 years,"10,000 or more employees",20+,"250,000-299,999","$10,000-$99,999","Local development environments (RStudio, JupyterLab, etc.)",2,4,2,2
18-21,Man,Other,No formal education past high school,Student,1-2 years,Under 1 year,,,,,,1,1,2,1
18-21,Man,India,Bachelor’s degree,Student,3-5 years,1-2 years,,,,,,3,1,1,1
40-44,Man,Other,Doctoral degree,Machine Learning Engineer,5-10 years,2-3 years,"10,000 or more employees",10-14,"125,000-149,999","$10,000-$99,999","Local development environments (RStudio, JupyterLab, etc.)",6,3,5,3
30-34,Man,Other,Bachelor’s degree,Student,5-10 years,I do not use machine learning methods,,,,,Other,4,1,0,0
22-24,Man,Belarus,Master’s degree,Data Scientist,3-5 years,2-3 years,50-249 employees,10-14,"5,000-7,499",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",1,2,6,6
40-44,Woman,India,Doctoral degree,Data Scientist,10-20 years,4-5 years,"1000-9,999 employees",20+,"40,000-49,999","$10,000-$99,999","Local development environments (RStudio, JupyterLab, etc.)",2,2,1,3
35-39,Man,Japan,I prefer not to answer,Currently not employed,< 1 years,Under 1 year,,,,,,1,1,1,1
25-29,Man,Russia,Master’s degree,Other,1-2 years,Under 1 year,"1000-9,999 employees",0,$0-999,$100-$999,"Local development environments (RStudio, JupyterLab, etc.)",4,4,5,5
22-24,Man,Taiwan,Master’s degree,Student,3-5 years,1-2 years,,,,,,4,1,2,5
25-29,Man,United States of America,Master’s degree,Machine Learning Engineer,3-5 years,4-5 years,"1000-9,999 employees",15-19,"20,000-24,999","$1000-$9,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,3,6,8
35-39,Man,Malaysia,Master’s degree,Software Engineer,20+ years,Under 1 year,0-49 employees,1-2,"70,000-79,999",$100-$999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,1,3,4
30-34,Man,Japan,,,,,,,,,,0,0,0,0
25-29,Man,India,Master’s degree,Currently not employed,< 1 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,2,3,3
40-44,Man,Morocco,Master’s degree,Currently not employed,I have never written code,,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",0,0,0,0
25-29,Man,Mexico,Master’s degree,Data Analyst,3-5 years,Under 1 year,50-249 employees,20+,"20,000-24,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,2,3,3
55-59,Man,Other,Master’s degree,Software Engineer,20+ years,I do not use machine learning methods,0-49 employees,20+,"50,000-59,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,1,0,0
30-34,Man,India,Master’s degree,Other,I have never written code,,"1000-9,999 employees",20+,"10,000-14,999","$1000-$9,999",,0,0,0,0
35-39,Man,India,Master’s degree,Data Scientist,3-5 years,2-3 years,"10,000 or more employees",20+,"30,000-39,999","$1000-$9,999","Advanced statistical software (SPSS, SAS, etc.)",1,3,3,4
18-21,Man,India,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years,1-2 years,0-49 employees,5-9,"1,000-1,999",$100-$999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,3,5,6
18-21,Man,Nigeria,Bachelor’s degree,Data Analyst,1-2 years,1-2 years,0-49 employees,3-4,$0-999,$1-$99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,3,2,4
30-34,Man,India,Master’s degree,Software Engineer,5-10 years,1-2 years,0-49 employees,3-4,"15,000-19,999",$1-$99,"Local development environments (RStudio, JupyterLab, etc.)",5,4,4,3
22-24,Man,India,Bachelor’s degree,Software Engineer,5-10 years,Under 1 year,0-49 employees,0,"2,000-2,999",$0 ($USD),"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",3,3,3,4
18-21,Man,India,Bachelor’s degree,Student,3-5 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",4,2,3,3
45-49,Man,Spain,Master’s degree,Statistician,10-20 years,4-5 years,250-999 employees,1-2,"50,000-59,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",2,1,3,3
18-21,Woman,India,,,,,,,,,,0,0,0,0
25-29,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Student,3-5 years,1-2 years,,,,,"Advanced statistical software (SPSS, SAS, etc.)",3,5,7,6
40-44,Man,United States of America,Bachelor’s degree,Software Engineer,10-20 years,1-2 years,"10,000 or more employees",1-2,"80,000-89,999",$100-$999,"Local development environments (RStudio, JupyterLab, etc.)",2,2,2,3
25-29,Man,Egypt,Bachelor’s degree,Data Scientist,1-2 years,1-2 years,0-49 employees,3-4,$0-999,$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",1,3,4,6
25-29,Man,India,Master’s degree,Software Engineer,3-5 years,Under 1 year,250-999 employees,5-9,"10,000-14,999",$1-$99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,2,2,3
22-24,Man,India,Master’s degree,Student,1-2 years,,,,,,,1,0,0,0
40-44,Woman,Japan,Master’s degree,Student,1-2 years,I do not use machine learning methods,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,2,0,0
22-24,Man,Brazil,Bachelor’s degree,Business Analyst,3-5 years,2-3 years,"1000-9,999 employees",20+,"1,000-1,999",$0 ($USD),,2,2,4,1
18-21,Woman,Malaysia,Bachelor’s degree,Statistician,3-5 years,1-2 years,,,,,,2,1,1,0
18-21,Woman,India,Bachelor’s degree,Student,3-5 years,I do not use machine learning methods,,,,,,2,1,0,0
30-34,Man,Other,Doctoral degree,Other,5-10 years,4-5 years,"10,000 or more employees",20+,"2,000-2,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",6,2,2,2
25-29,Man,Other,Master’s degree,Student,5-10 years,3-4 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",4,2,1,4
40-44,Man,United States of America,Master’s degree,Software Engineer,20+ years,I do not use machine learning methods,0-49 employees,0,"100,000-124,999",$100-$999,,4,2,0,0
40-44,Man,Sweden,Master’s degree,Other,10-20 years,Under 1 year,"1000-9,999 employees",1-2,"40,000-49,999",$1-$99,"Local development environments (RStudio, JupyterLab, etc.)",3,3,1,2
35-39,Man,India,Bachelor’s degree,Machine Learning Engineer,1-2 years,Under 1 year,50-249 employees,3-4,"2,000-2,999","$1000-$9,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,1,1,1
25-29,Woman,Canada,Master’s degree,Software Engineer,3-5 years,1-2 years,0-49 employees,1-2,"70,000-79,999",$100-$999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,5,2,2
50-54,Man,Poland,Doctoral degree,Research Scientist,20+ years,20 or more years,250-999 employees,15-19,"25,000-29,999",$1-$99,"Local development environments (RStudio, JupyterLab, etc.)",3,1,2,4
25-29,Man,South Korea,Master’s degree,Data Scientist,5-10 years,2-3 years,250-999 employees,20+,"1,000-1,999",$100-$999,"Local development environments (RStudio, JupyterLab, etc.)",2,3,2,7
45-49,Man,Germany,Doctoral degree,Other,3-5 years,2-3 years,"10,000 or more employees",15-19,$0-999,$100-$999,"Local development environments (RStudio, JupyterLab, etc.)",1,3,1,2
25-29,Woman,Germany,Master’s degree,Student,1-2 years,,,,,,,1,0,0,0
25-29,Man,"Iran, Islamic Republic of...",Master’s degree,Student,< 1 years,,,,,,,1,0,0,0
22-24,Woman,India,Master’s degree,Student,< 1 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",5,10,8,10
35-39,Man,Other,Master’s degree,Other,3-5 years,Under 1 year,"1000-9,999 employees",10-14,"50,000-59,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",1,4,1,3
22-24,Woman,India,Doctoral degree,Software Engineer,I have never written code,,0-49 employees,0,$0-999,$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",0,0,0,0
25-29,Man,India,Master’s degree,Other,1-2 years,,,,,,,1,0,0,0
45-49,Man,Italy,Master’s degree,Software Engineer,3-5 years,I do not use machine learning methods,50-249 employees,1-2,"50,000-59,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",3,2,0,0
22-24,Man,India,Master’s degree,Student,< 1 years,,,,,,,4,0,0,0
40-44,Man,India,Master’s degree,Student,3-5 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,2,2,1
35-39,Man,Pakistan,Professional degree,Data Analyst,I have never written code,,50-249 employees,3-4,$0-999,"$1000-$9,999",,0,0,0,0
18-21,Man,India,Bachelor’s degree,Student,1-2 years,Under 1 year,,,,,,1,3,2,3
50-54,Man,India,Professional degree,Product/Project Manager,10-20 years,Under 1 year,"1000-9,999 employees",0,"30,000-39,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",1,2,1,1
18-21,Man,India,Bachelor’s degree,Student,1-2 years,,,,,,,3,0,0,0
25-29,Woman,Brazil,Bachelor’s degree,Software Engineer,3-5 years,I do not use machine learning methods,50-249 employees,5-9,$0-999,"$1000-$9,999",,3,1,0,0
22-24,Woman,South Korea,Bachelor’s degree,Student,1-2 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",5,1,1,2
25-29,Man,India,Master’s degree,Currently not employed,< 1 years,Under 1 year,,,,,Other,2,2,2,2
18-21,Woman,India,Bachelor’s degree,Student,< 1 years,I do not use machine learning methods,,,,,"Local development environments (RStudio, JupyterLab, etc.)",3,3,0,0
22-24,Man,India,Bachelor’s degree,Student,3-5 years,Under 1 year,,,,,,6,3,5,6
22-24,Man,India,Master’s degree,Machine Learning Engineer,5-10 years,2-3 years,0-49 employees,1-2,"1,000-1,999",$100-$999,"Local development environments (RStudio, JupyterLab, etc.)",3,2,2,2
40-44,Woman,India,,,,,,,,,,0,0,0,0
22-24,Man,Other,Master’s degree,Software Engineer,1-2 years,1-2 years,0-49 employees,3-4,$0-999,$100-$999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",8,2,2,2
25-29,Man,Italy,Doctoral degree,Data Scientist,3-5 years,2-3 years,50-249 employees,1-2,"30,000-39,999",$1-$99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,3,4,5
30-34,Man,Bangladesh,Master’s degree,,,,,,,,,0,0,0,0
45-49,Prefer not to say,United States of America,Master’s degree,Currently not employed,10-20 years,2-3 years,,,,,"Advanced statistical software (SPSS, SAS, etc.)",2,2,1,1
25-29,Man,Japan,Master’s degree,Software Engineer,5-10 years,Under 1 year,"10,000 or more employees",20+,,,,3,2,5,4
18-21,Man,Egypt,Bachelor’s degree,Machine Learning Engineer,< 1 years,Under 1 year,250-999 employees,5-9,,,,1,1,3,1
35-39,Man,Turkey,Doctoral degree,Student,10-20 years,1-2 years,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",6,2,4,2
30-34,Man,China,Bachelor’s degree,Data Analyst,3-5 years,1-2 years,0-49 employees,3-4,"1,000-1,999",$100-$999,Other,2,2,2,6
18-21,Woman,India,Master’s degree,Student,1-2 years,I do not use machine learning methods,,,,,"Local development environments (RStudio, JupyterLab, etc.)",4,1,0,0
35-39,Man,India,Bachelor’s degree,,,,,,,,,0,0,0,0
25-29,Man,Sri Lanka,Bachelor’s degree,Software Engineer,1-2 years,1-2 years,50-249 employees,1-2,$0-999,$1-$99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",5,2,4,3
22-24,Man,India,Bachelor’s degree,Software Engineer,< 1 years,Under 1 year,0-49 employees,10-14,"5,000-7,499",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",2,1,1,1
25-29,Man,United States of America,Master’s degree,Data Analyst,3-5 years,2-3 years,0-49 employees,3-4,"25,000-29,999",$100-$999,"Local development environments (RStudio, JupyterLab, etc.)",4,3,4,5
45-49,Man,Japan,Some college/university study without earning a bachelor’s degree,Software Engineer,20+ years,Under 1 year,50-249 employees,0,"50,000-59,999",$0 ($USD),,4,1,1,3
25-29,Man,India,Master’s degree,Software Engineer,3-5 years,Under 1 year,"1000-9,999 employees",20+,$0-999,$1-$99,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,1,1,3
35-39,Woman,"Iran, Islamic Republic of...",Professional degree,Product/Project Manager,5-10 years,10-20 years,50-249 employees,10-14,"100,000-124,999",$100-$999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",4,1,3,3
35-39,Woman,Turkey,Bachelor’s degree,Product/Project Manager,< 1 years,Under 1 year,"1000-9,999 employees",5-9,$0-999,"$10,000-$99,999",Other,3,1,1,2
40-44,Woman,Other,Doctoral degree,Research Scientist,10-20 years,2-3 years,"1000-9,999 employees",15-19,"60,000-69,999","$1000-$9,999","Advanced statistical software (SPSS, SAS, etc.)",1,1,1,2
70+,Man,United States of America,Doctoral degree,Currently not employed,20+ years,I do not use machine learning methods,,,,,Other,3,1,0,0
45-49,Man,Romania,Master’s degree,Software Engineer,10-20 years,Under 1 year,50-249 employees,0,"20,000-24,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,1,3,3
18-21,Woman,India,Bachelor’s degree,Student,3-5 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",3,3,4,5
40-44,Woman,United States of America,Master’s degree,Data Scientist,20+ years,5-10 years,250-999 employees,3-4,"200,000-249,999",$100-$999,"Local development environments (RStudio, JupyterLab, etc.)",2,2,1,4
35-39,Woman,Brazil,Bachelor’s degree,Data Analyst,< 1 years,Under 1 year,50-249 employees,1-2,$0-999,$0 ($USD),"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",2,2,1,2
35-39,Man,Nepal,Master’s degree,Data Scientist,10-20 years,5-10 years,250-999 employees,1-2,"10,000-14,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",7,2,4,4
30-34,Man,India,Bachelor’s degree,Other,< 1 years,Under 1 year,"1000-9,999 employees",0,"30,000-39,999",$0 ($USD),"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",1,3,3,2
50-54,Man,United States of America,Bachelor’s degree,Data Engineer,10-20 years,1-2 years,0-49 employees,1-2,"60,000-69,999","$10,000-$99,999","Basic statistical software (Microsoft Excel, Google Sheets, etc.)",5,2,1,2
18-21,Man,India,Bachelor’s degree,Student,1-2 years,1-2 years,,,,,,5,2,1,3
30-34,Man,Canada,Bachelor’s degree,Data Engineer,5-10 years,1-2 years,,,,,,2,1,0,0
30-34,Man,Other,No formal education past high school,Other,1-2 years,,,,,,,2,0,0,0
30-34,Man,United States of America,Master’s degree,Data Analyst,5-10 years,2-3 years,50-249 employees,0,"20,000-24,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",3,1,3,4
50-54,Man,Other,Master’s degree,Software Engineer,20+ years,2-3 years,"1000-9,999 employees",0,"100,000-124,999",$100-$999,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",5,1,3,1
40-44,Man,Italy,Bachelor’s degree,Other,1-2 years,1-2 years,0-49 employees,1-2,"7,500-9,999",$0 ($USD),,1,3,2,4
18-21,Woman,India,Bachelor’s degree,Student,3-5 years,Under 1 year,,,,,,2,2,1,4
22-24,Man,Japan,Master’s degree,Student,3-5 years,1-2 years,,,,,,2,2,4,5
18-21,Woman,India,Bachelor’s degree,Student,< 1 years,,,,,,,2,0,0,0
35-39,Man,Taiwan,Doctoral degree,Research Scientist,3-5 years,3-4 years,0-49 employees,1-2,"30,000-39,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",3,3,3,2
25-29,Man,Other,Master’s degree,Software Engineer,5-10 years,1-2 years,0-49 employees,1-2,$0-999,$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",6,3,1,1
25-29,Man,India,Bachelor’s degree,Product/Project Manager,I have never written code,,0-49 employees,0,"1,000-1,999",$0 ($USD),,0,0,0,0
40-44,Man,United States of America,No formal education past high school,Other,20+ years,5-10 years,0-49 employees,0,"15,000-19,999",$0 ($USD),Other,1,1,1,7
25-29,Man,Russia,Master’s degree,Machine Learning Engineer,10-20 years,3-4 years,0-49 employees,3-4,"40,000-49,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",4,2,5,3
30-34,Man,United States of America,Doctoral degree,Student,3-5 years,4-5 years,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,3,1,2
25-29,Man,United States of America,Doctoral degree,Student,3-5 years,1-2 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",2,2,2,2
22-24,Man,Brazil,Bachelor’s degree,Currently not employed,< 1 years,I do not use machine learning methods,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1,2,0,0
22-24,Woman,Saudi Arabia,Master’s degree,Student,3-5 years,I do not use machine learning methods,,,,,,8,1,0,0
22-24,Man,India,I prefer not to answer,Currently not employed,< 1 years,Under 1 year,,,,,"Local development environments (RStudio, JupyterLab, etc.)",1,2,1,2
25-29,Man,India,Bachelor’s degree,Data Scientist,3-5 years,1-2 years,"10,000 or more employees",5-9,"15,000-19,999",$0 ($USD),,2,3,2,3
25-29,Man,Germany,,,,,,,,,,0,0,0,0
25-29,Woman,Malaysia,Bachelor’s degree,Software Engineer,3-5 years,,,,,,,1,0,0,0
22-24,Man,Egypt,Bachelor’s degree,Machine Learning Engineer,1-2 years,Under 1 year,0-49 employees,0,$0-999,$1-$99,,4,1,1,3
25-29,Man,Nepal,Master’s degree,Software Engineer,3-5 years,I do not use machine learning methods,0-49 employees,0,"7,500-9,999",$0 ($USD),,1,2,0,0
30-34,Man,Ghana,Master’s degree,Currently not employed,5-10 years,Under 1 year,,,,,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",2,3,2,3
22-24,Man,India,Master’s degree,Student,3-5 years,1-2 years,,,,,,2,1,2,4
35-39,Man,Chile,Bachelor’s degree,Product/Project Manager,5-10 years,1-2 years,0-49 employees,1-2,"15,000-19,999","$1000-$9,999","Local development environments (RStudio, JupyterLab, etc.)",2,4,4,3
18-21,Man,India,,,,,,,,,,0,0,0,0
25-29,Woman,Singapore,Master’s degree,Data Scientist,1-2 years,2-3 years,0-49 employees,1-2,"3,000-3,999",$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",2,2,6,4
18-21,Man,India,Bachelor’s degree,Student,3-5 years,,,,,,,2,0,0,0
55-59,Man,United States of America,Some college/university study without earning a bachelor’s degree,Currently not employed,20+ years,4-5 years,,,,,"Local development environments (RStudio, JupyterLab, etc.)",4,4,5,7
22-24,Man,Pakistan,Master’s degree,Data Analyst,3-5 years,2-3 years,250-999 employees,20+,$0-999,$0 ($USD),"Local development environments (RStudio, JupyterLab, etc.)",3,2,4,4
